VALDATA,IPCA,TAXA_DESOCUPACAO,ANO,MES,TRIMESTRE,ANO_MES,IPCA_VARIACAO_MENSAL,IPCA_VARIACAO_ANUAL,DESOCUPACAO_VARIACAO_MENSAL,DESOCUPACAO_VARIACAO_ANUAL,CLASSIFICACAO_INFLACAO,CLASSIFICACAO_DESOCUPACAO
2022-10-01,6407.93,8.3,2022,10,4,2022-10,0.5900783945598009,6.470372234988386,-0.3999999999999986,-3.799999999999999,Alta,Moderada
2022-11-01,6434.2,8.1,2022,11,4,2022-11,0.4099607829673557,5.900728970701263,-0.20000000000000107,-3.5,Moderada,Moderada
2022-12-01,6474.09,7.9,2022,12,4,2022-12,0.6199682944266538,5.785092907889489,-0.1999999999999993,-3.1999999999999993,Moderada,Baixa
2023-01-01,6508.4,8.4,2023,1,1,2023-01,0.5299586505593812,5.774497041323934,0.5,-2.799999999999999,Moderada,Moderada
2023-02-01,6563.07,8.6,2023,2,1,2023-02,0.8399913957347405,5.596404965858115,0.1999999999999993,-2.5999999999999996,Moderada,Moderada
2023-03-01,6609.67,8.8,2023,3,1,2023-03,0.7100335666083257,4.65077985348159,0.20000000000000107,-2.299999999999999,Moderada,Moderada
2023-04-01,6649.99,8.5,2023,4,2,2023-04,0.6100153260298891,4.184788058055289,-0.3000000000000007,-2.0,Moderada,Moderada
2023-05-01,6665.28,8.3,2023,5,2,2023-05,0.2299251577821959,3.935829143848002,-0.1999999999999993,-1.5,Moderada,Moderada
2023-06-01,6659.95,8.0,2023,6,2,2023-06,-0.07996663305968044,3.1614737021461004,-0.3000000000000007,-1.3000000000000007,Moderada,Moderada
2023-07-01,6667.94,7.9,2023,7,3,2023-07,0.11997087065218626,3.9923892107705194,-0.09999999999999964,-1.1999999999999993,Moderada,Baixa
2023-08-01,6683.28,7.8,2023,8,3,2023-08,0.23005605929267148,4.608170145894341,-0.10000000000000053,-1.1000000000000005,Moderada,Baixa
2023-09-01,6700.66,7.7,2023,9,3,2023-09,0.260051950539264,5.185280534476955,-0.09999999999999964,-0.9999999999999991,Moderada,Baixa
2023-10-01,6716.74,7.6,2023,10,4,2023-10,0.23997636053760818,4.819184978612423,-0.10000000000000053,-0.7000000000000011,Moderada,Baixa
2023-11-01,6735.55,7.5,2023,11,4,2023-11,0.28004657021114543,4.683565944484158,-0.09999999999999964,-0.5999999999999996,Moderada,Baixa
2023-12-01,6773.27,7.4,2023,12,4,2023-12,0.5600136588697291,4.62119000508181,-0.09999999999999964,-0.5,Moderada,Baixa
